csv_code,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),ref_id,variable,survey_year,feature_group,question,abs_coef
C2466100,0.11553649439424361,1.122475477863427,0.008621444405827385,0.09863877386410762,0.13243421492437962,1.1036675539787215,1.1416039131191313,0.0,13.401060072503684,5.960565093330247e-41,133.6236027780336,C24661.00,CSAS040B,2000,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,0.11553649439424361
Y1176200,0.10162279178210666,1.1069658363547377,0.012275961700297577,0.07756234897393033,0.125683234590283,1.0806496077523693,1.1339229238283663,0.0,8.278193942201959,1.250574360690354e-16,52.82825867370598,Y11762.00,YASR-61B,2000,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,0.10162279178210666
C2765800,0.09842076213242656,1.1034269677303439,0.008146251829394605,0.08245440193781961,0.11438712232703352,1.0859491551329954,1.121186077045632,0.0,12.081723496110085,1.319251168433283e-33,109.2239078699864,C27658.00,CSAS040B,2002,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,0.09842076213242656
C1977300,-0.09291015672305991,0.9112753685837363,0.012994620121922415,-0.11837914415480733,-0.0674411692913125,0.888359172567954,0.9347827129278636,0.0,-7.149894021627994,8.684492171764968e-13,40.0666237441506,C19773.00,MS984004,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.09291015672305991
C5990500,-0.08950754259991762,0.9143813682854615,0.013073247061302097,-0.11513063600106384,-0.06388444919877141,0.8912497070038989,0.9381133930223384,0.0,-6.846619067183961,7.561571351952728e-12,36.94445107006108,C59905.00,MS-BKGN-AGECK-YA1,2014,family/home,IS CHILD TURNING 15 YEARS OF AGE IN 2014?,0.08950754259991762
C2433500,0.08046098785531469,1.083786564979226,0.012652164001114135,0.0556632020866368,0.10525877362399258,1.057241547019969,1.110998070157457,0.0,6.359464503323652,2.0245830861479956e-10,32.20165609839369,C24335.00,MS2-10,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.08046098785531469
C0008048,-0.0786521133188195,0.924361441550197,0.014139612629182507,-0.10636524482736491,-0.05093898181027408,0.8990961978616321,0.950336656585722,0.0,-5.562536639546314,2.6588118396234327e-08,25.16464307579098,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD,0.0786521133188195
C5118200,0.07787260413514618,1.080984936886748,0.00857928586914559,0.06105751281854742,0.09468769545174495,1.0629600462575033,1.099315480285671,0.0,9.076816569920581,1.1179679790367833e-19,62.95575493591887,C51182.00,CSAS040B,2010,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,0.07787260413514618
C2479400,0.072717087083903,1.0754262418980953,0.012171711633519287,0.048860970651998,0.09657320351580799,1.0500743494388745,1.1013902038280232,0.0,5.974269623973816,2.3112328302093512e-09,28.68869025187494,C24794.00,CSAS107C,2000,school/achievement,CHILD SELF-ADMIN: EVER HAD A CLASS/TRAINING PROGRAM ON WORD,0.072717087083903
C3366300,0.07183038345691933,1.0744730801972708,0.006859878722625809,0.05838526822226012,0.08527549869157855,1.0601233488804862,1.089017048146124,0.0,10.471086496034184,1.1728898789404314e-25,82.8181348051641,C33663.00,CSAS040B,2006,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,0.07183038345691933
