level,threshold,accuracy,auc,sensitivity_tpr,specificity_tnr,predicted_positive_rate,tp,tn,fp,fn
person_wave_hazard,0.5,0.8656763590391909,0.7965736789387614,0.16430903155603918,0.984840081345905,0.0368204804045512,151,5327,82,768
person_cumulative_risk,0.5,0.5226537216828478,0.5092457512795077,0.5255712731229597,0.5141955835962145,0.5153721682847896,483,163,154,436
