model,split,threshold,accuracy,auc,sensitivity_tpr,specificity_tnr,predicted_positive_rate,tp,tn,fp,fn
L2 Logistic Regression original BoL features,train,0.5,0.9351819757365684,0.9806201326740024,0.9661246612466124,0.9027679205110009,0.5417677642980936,1426,1272,137,50
L2 Logistic Regression original BoL features,test,0.5,0.8884397736459175,0.949334609710932,0.9210110584518169,0.8543046357615894,0.5424413904607922,583,516,88,50
Gradient Boosting Stumps original BoL features,train,0.5,0.8079722703639515,0.8984437058706995,0.8597560975609756,0.7537260468417317,0.5601386481802426,1269,1062,347,207
Gradient Boosting Stumps original BoL features,test,0.5,0.8140662894098626,0.9038375024847516,0.8783570300157978,0.7466887417218543,0.5731608730800324,556,451,153,77
