split,threshold,accuracy,auc,sensitivity_tpr,specificity_tnr,predicted_positive_rate,tp,tn,fp,fn
train,0.5,0.767417677642981,0.8506374045287649,0.8523035230352304,0.6784953867991483,0.5930675909878683,1258,956,453,218
test,0.5,0.7413096200485044,0.8181004990427168,0.8372827804107424,0.640728476821192,0.6038803556992725,530,387,217,103
