feature,survey_year,feature_group,question,n_splits,mean_split_loss
C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR,110,0.1886468320388295
C1220200,1994,health,HEALTH: CHILD'S HEIGHT - FEET,17,0.18663859819158496
C0994500,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,9,0.18521397828689362
C1977300,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,8,0.1851968307911912
C1662300,1996,school/achievement,PIAT MATH: CHILD GRADE IN SCHOOL,4,0.18503777018747686
C0781100,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,2,0.1844687979034994
