csv_code,coefficient,survey_year,feature_group,question,abs_coefficient
C0733300,-0.021728917308282306,1988,substance/risk behavior,CHILD SELF-ADMINISTERED: R'S AGE WHEN FIRST USED MARIJUANA,0.021728917308282306
Y0670600,0.02135953426762172,1996,prior delinquency/contact,YA SELF-REPORT: NUMBER OF TIMES BEEN CONVICTED OF SOMETHING,0.02135953426762172
C1563200,0.021316471296851398,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -,0.021316471296851398
Y0967600,0.021237099006355023,1998,prior delinquency/contact,YA SELF-REPORT: HAVE YOU EVER IN LAST YEAR HURT SOMEONE ENOUGH TO,0.021237099006355023
C0945000,0.01928525624023434,1990,substance/risk behavior,CHILD SELF-ADMINISTERED: R'S AGE WHEN FIRST USED MARIJUANA,0.01928525624023434
C0944800,-0.019284428090437414,1990,substance/risk behavior,CHILD SELF-ADMINISTERED: HAVE YOU EVER USED MARIJUANA,0.019284428090437414
C1437500,-0.01819034264022579,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.01819034264022579
C0986500,0.017276125652370418,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.017276125652370418
C0796600,0.01714063689068629,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,0.01714063689068629
C0944500,0.01699261737468669,1990,substance/risk behavior,CHILD SELF-ADMINISTERED: HAVE YOU EVER DRUNK ALCOHOL,0.01699261737468669
Y0378100,0.016927479565358387,1994,substance/risk behavior,YA SELF-REPORT: EVER CONVICTED OF POSSESSION/USE OF ILLICIT DRUGS?,0.016927479565358387
C0944700,-0.016079541416920605,1990,substance/risk behavior,CHILD SELF-ADMINISTERED: R'S AGE WHEN FIRST DRANK ALCOHOL,0.016079541416920605
Y0671200,-0.01503349323193288,1996,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF THEFT?,0.01503349323193288
C1797300,-0.014868384041084457,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,0.014868384041084457
C1504700,-0.014807509210801074,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,0.014807509210801074
C1183000,-0.014638622836943085,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.014638622836943085
