feature_index,feature,threshold,left_value,right_value,loss,iteration,csv_code,survey_year,feature_group,question
249,C0005700,1985.0,-0.18826071764998614,0.13328635031769284,0.18944720602476608,37,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1984.0,-0.21191218035513498,0.11586832772011203,0.18938240416987018,38,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1985.0,-0.18403308622500372,0.13026114530235144,0.18937647384704992,39,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1984.0,-0.20716978336116693,0.11324470109495467,0.18931235560028095,40,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1985.0,-0.1799164058535474,0.127310792881563,0.18930919163264584,41,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1984.0,-0.20255243535401085,0.1106861586888482,0.18924556316279423,42,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1985.0,-0.1759077397962244,0.12443336369651686,0.18924518589080586,43,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1984.0,-0.19805680886785088,0.10819102369024705,0.18918186980558527,44,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1984.0,-0.19571179711247993,0.10688309823689353,0.18918250277080373,45,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1985.0,-0.17022751294859526,0.12033958563999636,0.18912400090761547,46,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1984.0,-0.19139327484606455,0.10448006984737351,0.18912241083339856,47,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1985.0,-0.16647635126051438,0.11763601561353434,0.18906821531935566,48,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1984.0,-0.1871883372622212,0.10213641238754508,0.1890650777971526,49,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1985.0,-0.16282321823508372,0.11499893587011072,0.18901513921483304,50,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1984.0,-0.1830938202361312,0.09985057326726017,0.1890103713264916,51,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1985.0,-0.15926536665231728,0.11242660032814722,0.18896463388700707,52,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1984.0,-0.17910661820918647,0.09762103585397468,0.18895816558959463,53,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1985.0,-0.1558001032258988,0.10991730419662121,0.18891656752829147,54,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1984.0,-0.1752236877235,0.09544631946560055,0.18890834095314374,55,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1985.0,-0.1524247912550466,0.10746938388345109,0.1888708149616341,56,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1984.0,-0.1714420502514587,0.09332497925447435,0.1888607836879017,57,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1985.0,-0.14913685270624435,0.10508121678738681,0.18882725736932873,58,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1984.0,-0.16775879439869962,0.09125560599570973,0.18881538568529135,59,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.13073147387647988,0.1148105141875886,0.18878066202226781,60,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1983.0,-0.1849564402202612,0.07948115775392248,0.1887100831270751,61,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1985.0,-0.143144518301829,0.10072094898382934,0.18867658966773398,62,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1983.0,-0.18122082230391542,0.07781601529109608,0.18863591416039105,63,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.1258826061454094,0.11040040169759911,0.18855129421940764,64,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1983.0,-0.17774101046171067,0.07626335833240692,0.1885375567901677,65,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.12346357199873033,0.1081996312116621,0.18846081338040727,66,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1983.0,-0.17434405097799366,0.07474558822055945,0.1884432162302712,67,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.12110087190947834,0.10604749017768292,0.18837425821140555,68,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1983.0,-0.17102771792174576,0.0732618551060608,0.1883527196205612,69,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.11879299752667143,0.10394279223036353,0.18829144370116124,70,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1984.0,-0.14926823953020793,0.0808239529892758,0.18826514145785486,71,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
249,C0005700,1986.0,-0.11642124069646143,0.10177894747769822,0.18823564666153536,72,C0005700,XRND,background,DATE OF BIRTH OF CHILD - YEAR
