model,split,threshold,accuracy,auc,sensitivity_tpr,specificity_tnr,predicted_positive_rate,tp,tn,fp,fn
L2 Logistic Regression,train,0.5,0.767417677642981,0.8506374045287649,0.8523035230352304,0.6784953867991483,0.5930675909878683,1258,956,453,218
L2 Logistic Regression,test,0.5,0.7413096200485044,0.8181004990427168,0.8372827804107424,0.640728476821192,0.6038803556992725,530,387,217,103
Gradient Boosting Stumps,train,0.5,0.7417677642980935,0.8008322418213536,0.8197831978319783,0.6600425833924769,0.5854419410745234,1210,930,479,266
Gradient Boosting Stumps,test,0.5,0.7607113985448666,0.8045939131435507,0.8404423380726699,0.6771523178807947,0.587712206952304,532,409,195,101
