split,threshold,accuracy,auc,sensitivity_tpr,specificity_tnr,predicted_positive_rate,tp,tn,fp,fn
train,0.5,0.7417677642980935,0.8008322418213536,0.8197831978319783,0.6600425833924769,0.5854419410745234,1210,930,479,266
test,0.5,0.7607113985448666,0.8045939131435507,0.8404423380726699,0.6771523178807947,0.587712206952304,532,409,195,101
