csv_code,ref_id,variable,survey_year,question,n_nonmissing,n_missing,missing_rate,positive_rate_among_nonmissing
C5118500,C51185.00,CSAS040E,2010,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,210,4529,0.9556868537666174,0.1333333333333333
Y2608200,Y26082.00,YASR-60C,2010,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,483,4256,0.8980797636632201,1.0
Y2608500,Y26085.00,YASR-60F,2010,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,483,4256,0.8980797636632201,1.0
Y2609100,Y26091.00,YASR-61B,2010,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,2354,2385,0.5032707322219878,0.0229396771452846
Y2609800,Y26098.00,YASR-66,2010,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,120,4619,0.9746782021523528,0.325
Y2609900,Y26099.00,YASR-67,2010,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,2838,1901,0.4011394809031441,0.0426356589147286
C5695700,C56957.00,CSAS040B,2012,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,155,4584,0.9672926777801224,0.1806451612903225
C5696000,C56960.00,CSAS040E,2012,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,153,4586,0.9677147077442498,0.1372549019607843
Y2958300,Y29583.00,YASR-60C,2012,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,284,4455,0.9400717450939016,1.0
Y2958600,Y29586.00,YASR-60F,2012,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,283,4456,0.9402827600759652,1.0
Y2959200,Y29592.00,YASR-61B,2012,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,2438,2301,0.4855454737286347,0.0164068908941755
Y2959900,Y29599.00,YASR-66,2012,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,113,4626,0.9761553070267988,0.336283185840708
Y2960000,Y29600.00,YASR-67,2012,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,2724,2015,0.4251951888584089,0.0447870778267254
C5967600,C59676.00,CSAS040B,2014,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,89,4650,0.9812196665963284,0.1348314606741573
C5967900,C59679.00,CSAS040E,2014,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,88,4651,0.981430681578392,0.0909090909090909
Y3325701,Y33257.01,YASR-60B-J~000002,2014,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,198,4541,0.9582190335513822,1.0
Y3325704,Y33257.04,YASR-60B-J~000005,2014,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,198,4541,0.9582190335513822,1.0
Y3325801,Y33258.01,YASR-61A-D~000002,2014,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,2539,2200,0.4642329605401983,0.0082709728239464
Y3326300,Y33263.00,YASR-66,2014,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,79,4660,0.9833298164169656,0.4556962025316455
Y3326400,Y33264.00,YASR-67,2014,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,2740,1999,0.4218189491453893,0.0386861313868613
Y3670801,Y36708.01,YASR-60B-J~000002,2016,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,167,4572,0.9647604979953576,1.0
Y3670804,Y36708.04,YASR-60B-J~000005,2016,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,167,4572,0.9647604979953576,1.0
Y3670901,Y36709.01,YASR-61A-D~000002,2016,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,2384,2355,0.4969402827600759,0.0121644295302013
Y3671500,Y36715.00,YASR-66,2016,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,73,4666,0.984595906309348,0.3835616438356164
Y3671600,Y36716.00,YASR-67,2016,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,2527,2212,0.4667651403249631,0.0352196280174119
Y4275601,Y42756.01,YASR-60B-J~000002,2018,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,81,4658,0.9829077864528382,1.0
Y4275604,Y42756.04,YASR-60B-J~000005,2018,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,81,4658,0.9829077864528382,1.0
Y4275701,Y42757.01,YASR-61A-D~000002,2018,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,2340,2399,0.50622494197088,0.0098290598290598
Y4276300,Y42763.00,YASR-66,2018,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,60,4679,0.9873391010761764,0.55
Y4276400,Y42764.00,YASR-67,2018,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,2416,2323,0.4901878033340367,0.0264900662251655
Y4596801,Y45968.01,YASR-60B-J~000002,2020,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,47,4692,0.9900822958430048,1.0
Y4596804,Y45968.04,YASR-60B-J~000005,2020,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,47,4692,0.9900822958430048,1.0
Y4596901,Y45969.01,YASR-61A-D~000002,2020,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,2039,2700,0.5697404515720617,0.0078469838155958
Y4597500,Y45975.00,YASR-66,2020,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,42,4697,0.9911373707533236,0.4047619047619047
Y4597600,Y45976.00,YASR-67,2020,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,2084,2655,0.5602447773791939,0.02447216890595
