csv_code,ref_id,variable,survey_year,topic,selection_source,question,feature_group,year_num
Y1942106,Y19421.06,YASR-65A~000007,2006,Crime & Substance Use,crime_related_variable,CHARGES R MOST RECENTLY CONVICTED OF - POSSESSION OF MARIJUANA OR,substance/risk behavior,2006.0
Y1942107,Y19421.07,YASR-65A~000008,2006,Crime & Substance Use,crime_related_variable,CHARGES R MOST RECENTLY CONVICTED OF - SELLING OF MARIJUANA OR,substance/risk behavior,2006.0
C3948700,C39487.00,MS-BPI-31,2008,"Education, Training & Achievement Scores",crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,behavioral/externalizing,2008.0
C3608000,C36080.00,BPMIS22008,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -,behavioral/externalizing,2008.0
C3608100,C36081.00,BPEXTR2008,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,2008.0
C3608600,C36086.00,BPEXTP2008,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,behavioral/externalizing,2008.0
C3608700,C36087.00,BPEXTZ2008,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,2008.0
C3608900,C36089.00,ANTI2008,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,behavioral/externalizing,2008.0
C3609000,C36090.00,ANTIPX2008,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,behavioral/externalizing,2008.0
C3609100,C36091.00,ANTIP2008,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,behavioral/externalizing,2008.0
C3609200,C36092.00,ANTIZX2008,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,behavioral/externalizing,2008.0
C3609300,C36093.00,ANTIZ2008,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,behavioral/externalizing,2008.0
C3945900,C39459.00,MS-BPI-04,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,behavioral/externalizing,2008.0
C3946100,C39461.00,MS-BPI-06,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,behavioral/externalizing,2008.0
C3946500,C39465.00,MS-BPI-10,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,behavioral/externalizing,2008.0
C3946600,C39466.00,MS-BPI-11,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,behavioral/externalizing,2008.0
C3946800,C39468.00,MS-BPI-13,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,behavioral/externalizing,2008.0
C3947400,C39474.00,MS-BPI-19,2008,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,behavioral/externalizing,2008.0
C3948300,C39483.00,MS-BPI-28,2008,Survey Methodology,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,behavioral/externalizing,2008.0
C3604000,C36040.00,NHFCHD2008,2008,"Parents, Family Process & Childhood",quick_curated_logit_predictor; substantive_lasso_top30; team_feature_lasso_top30,# FEMALE HH MEMBERS UNDER 18 IN HOUSEHOLD OF MOTHER,family/home,2008.0
C3924800,C39248.00,MS-HOME-D02F,2008,"Parents, Family Process & Childhood",quick_curated_logit_predictor; team_feature_lasso_top30,HOME PART D (10-14 YRS): HOW OFTEN CHILD EXPECTED TO HELP MANAGE,family/home,2008.0
C3868400,C38684.00,CSAS030A,2008,Other / Unclassified,quick_curated_logit_predictor; substantive_lasso_top30,CHILD SELF-ADMIN: GIRLS AND BOYS SHOULD BE TREATED THE SAME AT,other,2008.0
C3868100,C38681.00,CSAS024A,2008,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON,peer/neighborhood,2008.0
C3870000,C38700.00,CSAS040B,2008,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,prior delinquency/contact,2008.0
Y2256600,Y22566.00,YASR-60C,2008,Crime & Substance Use,crime_related_variable,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,prior delinquency/contact,2008.0
Y2258100,Y22581.00,YASR-65A~000001,2008,Crime & Substance Use,crime_related_variable,CHARGES R MOST RECENTLY CONVICTED OF - ASSAULT,prior delinquency/contact,2008.0
Y2258101,Y22581.01,YASR-65A~000002,2008,Crime & Substance Use,crime_related_variable,CHARGES R MOST RECENTLY CONVICTED OF - ROBBERY,prior delinquency/contact,2008.0
