model,threshold,attribute,subgroup,n,base_rate,predicted_positive_rate,accuracy,auc,tpr,fpr,fnr,ppv,npv,tp,tn,fp,fn
BoL LLM broad persistent,0.38,Sex,Female,58,0.448275862068966,0.517241379310345,0.896551724137931,0.932091346153846,0.961538461538462,0.15625,0.0384615384615385,0.833333333333333,0.964285714285714,25,27,5,1
BoL LLM broad persistent,0.38,Sex,Male,62,0.548387096774194,0.5,0.82258064516129,0.867121848739496,0.794117647058823,0.142857142857143,0.205882352941176,0.870967741935484,0.774193548387097,27,24,4,7
BoL LLM broad persistent,0.38,Race,Black,22,0.5,0.5,0.818181818181818,0.913223140495868,0.818181818181818,0.181818181818182,0.181818181818182,0.818181818181818,0.818181818181818,9,9,2,2
BoL LLM broad persistent,0.38,Race,Hispanic,13,0.307692307692308,0.461538461538462,0.846153846153846,0.875,1.0,0.222222222222222,0.0,0.666666666666667,1.0,4,7,2,0
BoL LLM broad persistent,0.38,Race,Non-Black/non-Hispanic,85,0.529411764705882,0.517647058823529,0.870588235294118,0.891944444444444,0.866666666666667,0.125,0.133333333333333,0.886363636363636,0.853658536585366,39,35,5,6
