split,threshold,accuracy,auc,sensitivity_tpr,specificity_tnr,predicted_positive_rate,tp,tn,fp,fn
train,0.5,0.9351819757365685,0.9806201326740024,0.9661246612466124,0.9027679205110007,0.5417677642980936,1426,1272,137,50
test,0.5,0.8884397736459175,0.9493346097109319,0.9210110584518167,0.8543046357615894,0.5424413904607922,583,516,88,50
