csv_code,coefficient,mean_abs_shap_logit,mean_shap_logit,ref_id,variable,survey_year,feature_group,question
Y0672400,-0.0754095853967466,0.01635541532972597,-0.004390638257689294,Y06724.00,YASR-67,1996,prior delinquency/contact,YA SELF-REPORT: EVER BEEN ON PROBATION?
C0575500,0.04222098250890235,0.016317749992243936,0.0008662844278227033,C05755.00,ANTIPX1986,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX
C2526100,0.02405822742320824,0.016284347772661335,-0.0011344613455779062,C25261.00,ANTIP2002,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
C5764400,-0.07772351606474422,0.016248385331802142,-0.0007634542301555205,C57644.00,MS-BPI-04,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
C2760900,0.04748038219685487,0.016181395852530988,0.00042520888706102896,C27609.00,CSAS024A,2002,peer/neighborhood,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON
C2759000,0.04087270116227298,0.016176630029846362,0.002342727122702691,C27590.00,CSAS020F,2002,school/achievement,CHILD SELF-ADMIN: HOW MUCH CHILD TELLS PARENTS ABOUT WHAT HOMEWORK
C1927400,0.05076590665159168,0.01613704594822067,-0.0008906379094983321,C19274.00,CS98040B,1998,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
Y0967900,-0.05452670303315524,0.01606520935110787,-0.0020435364414320843,Y09679.00,YASR-62A,1998,prior delinquency/contact,YASR: EVER BEEN CONVICTED OF CHARGES OTHER THAN MINOR TRAFFIC
C0942700,0.1043270237772656,0.01594679375721199,0.0019270004935121989,C09427.00,CS906619,1990,school/achievement,CHILD SELF-ADMINISTERED: DAMAGED SCHOOL PROPERTY ON PURPOSE
Y3587003,-0.06897747421182988,0.01590455470085028,0.00013020624820413805,Y35870.03,Q13-3C.02~000010,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
C1197414,0.027617618678177407,0.015756959717295398,-0.002676955797940117,C11974.14,BPEXTR1992,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS
C2526000,0.023570963241817795,0.01574122087223082,-0.0011306997315902927,C25260.00,ANTIPX2002,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX
C0794500,0.02999830034618197,0.015695126015449454,-0.000486651548690785,C07945.00,ANTIP1988,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
C3357600,-0.06085646089576674,0.015594985536165833,0.0014470860278870466,C33576.00,CSAS005D,2006,family/home,CHILD SELF-ADMIN: HOW MUCH SAY IN RULES ABOUT DATING AND BOY/GIRL
C0564900,0.030259966957925273,0.015409735037865779,-0.0002088395738498285,C05649.00,MS860527,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
C5765100,0.08279905261647505,0.015266430454636439,0.0014290990230925896,C57651.00,MS-BPI-11,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
C5693600,0.08156680333402783,0.015255630587542535,0.004555859231163776,C56936.00,CSAS024A,2012,peer/neighborhood,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON
C2797200,0.027888957356152145,0.01525125629232557,-0.0007250244501779417,C27972.00,ANTI2004,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE
C3045500,0.10805800912805036,0.015164302179309488,-0.005795785976436851,C30455.00,CSAS040B,2004,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
C3987600,-0.03945821836732652,0.015066600103800063,0.0002791639239547492,C39876.00,ANTIPX2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX
C5190000,-0.046641649422095574,0.01493721457410553,0.0008925096195103737,C51900.00,MS-BPI-04,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
C2433100,0.023531684823781186,0.014760774807397677,0.0016425270851209662,C24331.00,MS2-06,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
C0732900,-0.053890395969787744,0.014695381275861568,0.000976684726336959,C07329.00,CS884247,1988,substance/risk behavior,CHILD SELF-ADMINISTERED: HAVE R DRUNK ALCOHOL IN PAST 3 MONTHS
C5675400,-0.054230067518611313,0.01431082279502534,0.0020865641307074253,C56754.00,SCHL-15,2012,school/achievement,SCHOOL: HOW OFTEN DOES TEACHER GIVE CHILD HOMEWORK
C1796600,-0.020242926976072474,0.014132300323844412,0.001441611161856571,C17966.00,ANTIPX1998,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX
Y1416200,0.19233958794568023,0.013894283096339612,-0.0023332316098884018,Y14162.00,YASR-60F,2002,school/achievement,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
C1977900,0.017366268433665077,0.013678476236223066,0.0011538741379251522,C19779.00,MS984010,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
C1562500,-0.0219512339710334,0.013641712751690337,0.0012075804573758503,C15625.00,BPEXTR1996,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS
Y0966300,-0.03745354380710494,0.013602719839109566,-0.0009945640945442237,Y09663.00,YASR-61E,1998,prior delinquency/contact,YA SELF-REPORT: EVER IN LAST YEAR DAMAGED PROPERTY OF OTHERS ON
C3948700,-0.05812469897345343,0.013559262082484685,0.00053164327219337,C39487.00,MS-BPI-31,2008,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
Y2960000,0.2590573066335009,0.013502263733610095,-0.0009055995943041781,Y29600.00,YASR-67,2012,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
Y0673400,0.06810887341085971,0.013436652274808204,-0.001512331605370886,Y06734.00,YASR-66D,1996,prior delinquency/contact,YASR: EVER BEEN REFERRED TO COURT-RELATED COUNSELING BY
Y2608200,0.20961657757991464,0.013379199238637222,-0.003563874127766476,Y26082.00,YASR-60C,2010,prior delinquency/contact,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
Y2609900,0.19518733996590662,0.013328177531411248,0.0024901330819587235,Y26099.00,YASR-67,2010,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
C3420900,0.02475066422139949,0.013213552674026052,0.0005290426173009997,C34209.00,MS-BPI-13,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
C5696000,0.1401675816637998,0.013133042713862085,0.0004856479463016846,C56960.00,CSAS040E,2012,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y2877903,0.08235690102067343,0.012937560402752953,0.0005490707009098543,Y28779.03,Q13-3F.01~000028,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
C1562700,-0.0207639888759945,0.012864731318939619,0.0012227655631139938,C15627.00,BPEXTZ1996,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS
C2497200,-0.02481377771194516,0.012801433678181531,0.0016776558578915476,C24972.00,BPEXTZ2000,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS
C3870300,0.14875106340729635,0.012711105144486643,-0.0021113870184112458,C38703.00,CSAS040E,2008,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y2878501,-0.11922529368881098,0.01267946652785181,-0.0036983837667232105,Y28785.01,Q13-3G.01~000026,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
C2740000,0.03662623015624527,0.012656255439490855,-7.706675912727372e-05,C27400.00,BPI-28,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y1416800,0.13296082581394741,0.012465679995004628,0.0004609694813859039,Y14168.00,YASR-61B,2002,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
C3012800,-0.03772441725456488,0.012313285040210365,-0.00213140070862016,C30128.00,BPI-31,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
C6034500,0.20302924161903108,0.01226840640017213,0.00897925867775326,C60345.00,MS-BPI-31,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
C2796900,0.024137232385059302,0.012201685094244352,-0.0016998447216844481,C27969.00,BPEXTP2004,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
C5765900,-0.053810675515784535,0.012082571265975485,0.0007426494919610194,C57659.00,MS-BPI-19,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
Y3586303,0.05516359206190073,0.011849176066181417,0.003971582411674638,Y35863.03,Q13-3A.01~000004,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
