model,threshold_name,attribute,base_rate_gap,predicted_positive_rate_gap,accuracy_gap,auc_gap,sensitivity_tpr_gap,specificity_tnr_gap,fpr_gap,fnr_gap,ppv_gap,npv_gap
L2 Logistic Regression,fixed_0.50,Race,0.09620693524856916,0.13245427000336663,0.12303235152100434,0.039062234856723,0.09180722891566262,0.14905750039600818,0.14905750039600824,0.09180722891566266,0.15551093261936633,0.08988954970263385
L2 Logistic Regression,fixed_0.50,Sex,0.11832268729956946,0.10383937306108781,0.026761565463952586,0.006992012568300066,0.022466188691543154,0.048294102674767414,0.04829410267476733,0.0224661886915431,0.013983050847457656,0.06558944931037958
L2 Logistic Regression,test_best_accuracy_exploratory,Race,0.09620693524856916,0.1272584446190102,0.09415741187831961,0.039062234856723,0.051807228915662584,0.13036591161096145,0.1303659116109615,0.051807228915662654,0.12584033613445378,0.05624438454627134
L2 Logistic Regression,test_best_accuracy_exploratory,Sex,0.11832268729956946,0.10509230922150553,0.022029704265214445,0.006992012568300066,0.018738797458041412,0.04591481026526345,0.04591481026526345,0.018738797458041384,0.017828457061596414,0.058040357811524834
