feature,ref_id,variable,survey_year,feature_group,question,n_splits,mean_split_loss
C0005700,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR,51,0.18223907244815565
Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL",31,0.17033701670006224
Y3599000,Y35990.00,Q14-20A,2016,health,HEIGHT OF R IN INCHES (NOT INCLUDING FEET),25,0.1661477952425921
C0008048,C00080.48,CRES2006,2006,family/home,USUAL RESIDENCE OF CHILD,23,0.1804144241589655
Y3300000,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH,8,0.17722840942728713
Y2590306,Y25903.06,Q16-9~000007,2010,behavioral/externalizing,TIPI (HOW WELL R THINKS PAIR OF PERSONALITY TRAITS APPLIES TO R) -,4,0.16386545933695712
Y3456000,Y34560.00,QES-71A.01,2016,socioeconomic/work,EASIEST WAY FOR R TO REPORT TOTAL EARNINGS/TIME UNIT FOR RATE OF,4,0.17238675958546318
Y3332600,Y33326.00,RESTYPE2014,2014,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED,3,0.16318434862425052
C6051000,C60510.00,CRES2016,2016,family/home,USUAL RESIDENCE OF CHILD,1,0.157179925344271
