split,threshold,accuracy,auc,sensitivity_tpr,specificity_tnr,predicted_positive_rate,tp,tn,fp,fn
train,0.5,0.8079722703639515,0.8984437058706995,0.8597560975609756,0.7537260468417317,0.5601386481802426,1269,1062,347,207
test,0.5,0.8140662894098626,0.9038375024847515,0.8783570300157978,0.7466887417218543,0.5731608730800324,556,451,153,77
