model,threshold_name,attribute,base_rate_gap,predicted_positive_rate_gap,accuracy_gap,auc_gap,sensitivity_tpr_gap,specificity_tnr_gap,fpr_gap,fnr_gap,ppv_gap,npv_gap
Gradient Boosting Stumps,fixed_0.50,Race,0.09620693524856916,0.2172707889125799,0.0886045388701111,0.05268417245729318,0.09799999999999998,0.21269150343532628,0.21269150343532622,0.09800000000000002,0.14083820662768032,0.04146730462519932
Gradient Boosting Stumps,fixed_0.50,Sex,0.11832268729956946,0.047292454656266414,0.06833079607221515,0.06622544508806061,0.1101515398403129,0.059128182995252465,0.059128182995252465,0.11015153984031285,0.02023689636982684,0.17945772058823528
Gradient Boosting Stumps,test_best_accuracy_exploratory,Race,0.09620693524856916,0.19800246885871392,0.06430820993329556,0.05268417245729318,0.18799999999999994,0.08362138863995217,0.0836213886399522,0.18800000000000003,0.06378233719892945,0.07457761754911252
Gradient Boosting Stumps,test_best_accuracy_exploratory,Sex,0.11832268729956946,0.02526275039105208,0.08803249786817757,0.06622544508806061,0.13533689098908253,0.019897524429246527,0.019897524429246485,0.13533689098908264,0.011321581612777631,0.17742874822553056
