csv_code,ref_id,variable,survey_year,topic,selection_source,question,feature_group,year_num
C0984700,C09847.00,MS901341,1990,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,behavioral/externalizing,1990.0
C0984800,C09848.00,MS901343,1990,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,behavioral/externalizing,1990.0
C0985000,C09850.00,MS901347,1990,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,behavioral/externalizing,1990.0
C0985600,C09856.00,MS901359,1990,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,behavioral/externalizing,1990.0
C0993800,C09938.00,ANTI1990,1990,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,behavioral/externalizing,1990.0
C0994500,C09945.00,ANTIP1990,1990,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN,behavioral/externalizing,1990.0
C0995200,C09952.00,ANTIZ1990,1990,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - ALL CHILDREN,behavioral/externalizing,1990.0
C0995900,C09959.00,ANTIPX1990,1990,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,behavioral/externalizing,1990.0
C0996600,C09966.00,ANTIZX1990,1990,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX,behavioral/externalizing,1990.0
C0997104,C09971.04,BPEXTR1990,1990,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,1990.0
C0997105,C09971.05,BPEXTP1990,1990,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,behavioral/externalizing,1990.0
C0997106,C09971.06,BPEXTZ1990,1990,Other / Unclassified,crime_related_variable,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS,behavioral/externalizing,1990.0
C0986500,C09865.00,MS901413,1990,Survey Methodology,crime_related_variable,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,behavioral/externalizing,1990.0
C0823600,C08236.00,CS902039,1990,Health,quick_curated_logit_predictor; substantive_lasso_top30; team_feature_lasso_top30,HEALTH: IS CHILD 8 YRS OR OLDER?,health,1990.0
C0942400,C09424.00,CS906613,1990,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: HURT SOMEONE BAD ENOUGH TO NEED A DOCTOR,prior delinquency/contact,1990.0
C0942700,C09427.00,CS906619,1990,"Education, Training & Achievement Scores",crime_related_variable,CHILD SELF-ADMINISTERED: DAMAGED SCHOOL PROPERTY ON PURPOSE,school/achievement,1990.0
C0944500,C09445.00,CS906655,1990,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: HAVE YOU EVER DRUNK ALCOHOL,substance/risk behavior,1990.0
C0944600,C09446.00,CS906657,1990,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: HAVE R DRUNK ALCOHOL IN THE PAST 3 MONTHS,substance/risk behavior,1990.0
C0944700,C09447.00,CS906659,1990,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: R'S AGE WHEN FIRST DRANK ALCOHOL,substance/risk behavior,1990.0
C0944800,C09448.00,CS906661,1990,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: HAVE YOU EVER USED MARIJUANA,substance/risk behavior,1990.0
C0944900,C09449.00,CS906663,1990,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: R USED MARIJUANA IN THE PAST 3 MONTHS,substance/risk behavior,1990.0
C0945000,C09450.00,CS906665,1990,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: R'S AGE WHEN FIRST USED MARIJUANA,substance/risk behavior,1990.0
C0945100,C09451.00,CS906667,1990,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: HAVE YOU EVER USED OTHER DRUGS,substance/risk behavior,1990.0
C0945200,C09452.00,CS906669,1990,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: USED OTHER DRUGS IN THE PAST 3 MONTHS,substance/risk behavior,1990.0
C0945300,C09453.00,CS906671,1990,Crime & Substance Use,crime_related_variable,CHILD SELF-ADMINISTERED: R'S AGE WHEN FIRST USED ANY DRUGS,substance/risk behavior,1990.0
