C0000100,C0000200,later_any_delinquency_contact_2000_2020,later_persistent_delinquency_contact_2000_2020,later_delinquency_contact_positive_item_count_2000_2020,later_delinquency_contact_positive_year_count_2000_2020,later_delinquency_contact_first_event_year_2000_2020,later_delinquency_contact_second_event_year_2000_2020,later_delinquency_contact_last_observed_year_2000_2020,later_any_justice_contact_2000_2020,later_persistent_justice_contact_2000_2020,later_justice_contact_positive_item_count_2000_2020,later_justice_contact_positive_year_count_2000_2020,later_justice_contact_first_event_year_2000_2020,later_justice_contact_second_event_year_2000_2020,later_justice_contact_last_observed_year_2000_2020
282301.0,2823.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
272301.0,2723.0,1.0,1.0,4.0,2.0,2008.0,2010.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
218101.0,2181.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
101502.0,1015.0,1.0,1.0,4.0,2.0,2002.0,2004.0,2016.0,0.0,0.0,0.0,0.0,,,2016.0
249203.0,2492.0,1.0,1.0,6.0,3.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
205402.0,2054.0,1.0,0.0,1.0,1.0,2000.0,,2018.0,1.0,0.0,1.0,1.0,2000.0,,2018.0
141901.0,1419.0,1.0,0.0,1.0,1.0,2006.0,,2010.0,1.0,0.0,1.0,1.0,2006.0,,2010.0
306101.0,3061.0,1.0,1.0,4.0,2.0,2008.0,2010.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
159604.0,1596.0,1.0,1.0,2.0,2.0,2004.0,2008.0,2014.0,1.0,1.0,2.0,2.0,2004.0,2008.0,2014.0
19202.0,192.0,1.0,0.0,2.0,1.0,2010.0,,2016.0,0.0,0.0,0.0,0.0,,,2016.0
9603.0,96.0,1.0,1.0,3.0,2.0,2012.0,2014.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
266305.0,2663.0,1.0,1.0,6.0,3.0,2008.0,2014.0,2020.0,1.0,1.0,3.0,3.0,2008.0,2014.0,2020.0
159802.0,1598.0,1.0,1.0,5.0,3.0,2010.0,2012.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
195301.0,1953.0,1.0,1.0,6.0,3.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
372001.0,3720.0,0.0,0.0,0.0,0.0,,,2000.0,0.0,0.0,0.0,0.0,,,2000.0
39004.0,390.0,1.0,1.0,3.0,2.0,2014.0,2018.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
240701.0,2407.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
11802.0,118.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
45901.0,459.0,1.0,1.0,5.0,3.0,2004.0,2006.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
82802.0,828.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
105001.0,1050.0,1.0,1.0,6.0,3.0,2014.0,2016.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
179901.0,1799.0,1.0,0.0,2.0,1.0,2020.0,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
239401.0,2394.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
32102.0,321.0,1.0,1.0,5.0,3.0,2002.0,2004.0,2014.0,0.0,0.0,0.0,0.0,,,2014.0
251502.0,2515.0,1.0,0.0,2.0,1.0,2004.0,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
141001.0,1410.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
25503.0,255.0,1.0,1.0,4.0,2.0,2002.0,2004.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
318202.0,3182.0,1.0,0.0,2.0,1.0,2016.0,,2016.0,0.0,0.0,0.0,0.0,,,2016.0
410902.0,4109.0,1.0,1.0,5.0,3.0,2012.0,2014.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
379101.0,3791.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
434501.0,4345.0,1.0,0.0,1.0,1.0,2012.0,,2018.0,1.0,0.0,1.0,1.0,2012.0,,2018.0
348101.0,3481.0,0.0,0.0,0.0,0.0,,,2020.0,0.0,0.0,0.0,0.0,,,2020.0
397003.0,3970.0,1.0,1.0,4.0,2.0,2008.0,2010.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
200802.0,2008.0,1.0,1.0,3.0,2.0,2000.0,2002.0,2008.0,0.0,0.0,0.0,0.0,,,2008.0
399801.0,3998.0,1.0,1.0,2.0,2.0,2000.0,2002.0,2002.0,1.0,0.0,1.0,1.0,2002.0,,2002.0
457802.0,4578.0,1.0,1.0,4.0,2.0,2002.0,2004.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
223701.0,2237.0,1.0,1.0,4.0,2.0,2002.0,2004.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
67702.0,677.0,1.0,1.0,9.0,4.0,2000.0,2002.0,2018.0,1.0,0.0,1.0,1.0,2004.0,,2018.0
122301.0,1223.0,1.0,1.0,4.0,2.0,2006.0,2008.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
179701.0,1797.0,1.0,1.0,3.0,2.0,2006.0,2008.0,2018.0,1.0,1.0,3.0,2.0,2006.0,2008.0,2018.0
210202.0,2102.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
408501.0,4085.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
226003.0,2260.0,1.0,0.0,2.0,1.0,2004.0,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
62702.0,627.0,0.0,0.0,0.0,0.0,,,2008.0,0.0,0.0,0.0,0.0,,,2008.0
171401.0,1714.0,1.0,1.0,4.0,2.0,2008.0,2010.0,2020.0,0.0,0.0,0.0,0.0,,,2020.0
93201.0,932.0,0.0,0.0,0.0,0.0,,,2018.0,0.0,0.0,0.0,0.0,,,2018.0
353203.0,3532.0,1.0,1.0,5.0,2.0,2008.0,2010.0,2020.0,1.0,0.0,1.0,1.0,2010.0,,2020.0
