C0000100,C0005700,predictor_cutoff_year,persistent_violence_contact_age15_25,n_original_bol_features_pre15_by_year
485201,1984.0,1999.0,0.0,250
486301,1978.0,1993.0,0.0,105
486302,1982.0,1997.0,0.0,201
486401,1987.0,2002.0,0.0,283
486901,1985.0,2000.0,0.0,250
487601,1981.0,1996.0,0.0,155
487602,1985.0,2000.0,0.0,250
488201,1983.0,1998.0,0.0,201
488202,1985.0,2000.0,0.0,250
488502,1982.0,1997.0,0.0,201
488503,1983.0,1998.0,0.0,201
488504,1985.0,2000.0,0.0,250
489901,1985.0,2000.0,0.0,250
491601,1983.0,1998.0,0.0,201
491901,1980.0,1995.0,0.0,150
491902,1982.0,1997.0,0.0,201
491903,1984.0,1999.0,0.0,250
492001,1980.0,1995.0,0.0,150
492002,1982.0,1997.0,0.0,201
492003,1984.0,1999.0,0.0,250
492501,1987.0,2002.0,1.0,283
493001,1983.0,1998.0,0.0,201
493002,1984.0,1999.0,0.0,250
493301,1985.0,2000.0,0.0,250
493401,1982.0,1997.0,0.0,201
493402,1984.0,1999.0,0.0,250
493801,1982.0,1997.0,0.0,201
494701,1980.0,1995.0,0.0,150
494702,1987.0,2002.0,0.0,283
494801,1979.0,1994.0,0.0,105
494802,1983.0,1998.0,0.0,201
495001,1973.0,1988.0,0.0,24
495002,1975.0,1990.0,0.0,53
495003,1977.0,1992.0,0.0,82
495004,1979.0,1994.0,1.0,105
495201,1986.0,2001.0,0.0,283
495301,1985.0,2000.0,0.0,250
495302,1986.0,2001.0,0.0,283
495701,1982.0,1997.0,0.0,201
495702,1984.0,1999.0,0.0,250
496201,1984.0,1999.0,0.0,250
496202,1986.0,2001.0,0.0,283
496203,1987.0,2002.0,0.0,283
497201,1982.0,1997.0,0.0,201
497302,1984.0,1999.0,0.0,250
497303,1986.0,2001.0,0.0,283
497401,1978.0,1993.0,0.0,105
497402,1980.0,1995.0,0.0,150
497404,1986.0,2001.0,0.0,283
497801,1981.0,1996.0,0.0,155
498101,1982.0,1997.0,0.0,201
498102,1984.0,1999.0,1.0,250
499701,1985.0,2000.0,0.0,250
499702,1986.0,2001.0,0.0,283
499901,1982.0,1997.0,0.0,201
499902,1984.0,1999.0,0.0,250
499903,1986.0,2001.0,0.0,283
500901,1987.0,2002.0,0.0,283
501401,1986.0,2001.0,0.0,283
501501,1986.0,2001.0,0.0,283
501601,1981.0,1996.0,1.0,155
503201,1986.0,2001.0,0.0,283
503501,1982.0,1997.0,0.0,201
503701,1984.0,1999.0,0.0,250
504101,1987.0,2002.0,0.0,283
504401,1978.0,1993.0,1.0,105
504501,1987.0,2002.0,0.0,283
504901,1978.0,1993.0,0.0,105
504902,1980.0,1995.0,0.0,150
504903,1982.0,1997.0,0.0,201
505901,1985.0,2000.0,1.0,250
506101,1977.0,1992.0,0.0,82
506102,1979.0,1994.0,0.0,105
506301,1982.0,1997.0,0.0,201
506302,1983.0,1998.0,0.0,201
506303,1986.0,2001.0,0.0,283
506401,1976.0,1991.0,0.0,81
506402,1980.0,1995.0,1.0,150
506403,1984.0,1999.0,0.0,250
