violence_positive_age_year_count_15_25,n,percent
0,2891,0.645024542614904
1,1059,0.2362784471218206
2,422,0.09415439535921463
3,88,0.01963409192324855
4,20,0.004462293618920125
5,2,0.0004462293618920125
