birth_cohort_5yr,n,positive_n,negative_n,base_rate,mean_positive_age_years,mean_observed_age_years_15_25
1970-1974,83,10.0,73.0,0.12048192771084337,0.6265060240963856,2.6164383561643834
1975-1979,1020,187.0,833.0,0.18333333333333332,0.692156862745098,3.9919597989949747
1980-1984,2149,244.0,1905.0,0.11354118194509075,0.4895300139599814,4.569811320754717
1985-1989,1230,91.0,1139.0,0.07398373983739838,0.36341463414634145,5.218418907905461
