race_label,n,positive_n,negative_n,base_rate,mean_positive_age_years,mean_observed_age_years_15_25
Black,1686,236.0,1450.0,0.13997627520759193,0.5705812574139977,4.48098974049487
Hispanic,1034,108.0,926.0,0.10444874274661509,0.4758220502901354,4.5245098039215685
Non-Black/non-Hispanic,1762,188.0,1574.0,0.10669693530079455,0.4557321225879682,4.726121979286536
