C0000100,C0000200,C0005300,C0005400,C0005700,C0005800,C0007000,first_observed_age,last_observed_age,n_observed_age_years,n_observed_age_years_15_25,any_observed_age_ge_25,observed_age_year_count_15_25,observed_survey_years_15_25,violence_positive_age_year_count_15_25,violence_first_event_age_15_25,violence_second_event_age_15_25,violence_last_event_age_15_25,violence_positive_survey_years_15_25,eligible_observed_through_age_25,persistent_violence_contact_age15_25,predictor_cutoff_age,predictor_cutoff_year
4601,46.0,3.0,2.0,1994.0,1.0,31.0,,,,,,,,0,,,,,False,,15,2009.0
4602,46.0,3.0,2.0,1997.0,2.0,34.0,,,,,,,,0,,,,,False,,15,2012.0
4901,49.0,3.0,1.0,1982.0,1.0,24.0,16.0,30.0,8.0,5.0,True,5.0,1998;2000;2002;2004;2006,0,,,,,True,0.0,15,1997.0
4902,49.0,3.0,1.0,1987.0,2.0,28.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,0,,,,,True,0.0,15,2002.0
5001,50.0,3.0,1.0,1985.0,1.0,26.0,15.0,25.0,3.0,3.0,True,3.0,2000;2002;2010,2,15.0,25.0,25.0,2000;2010,True,1.0,15,2000.0
5002,50.0,3.0,1.0,1988.0,2.0,29.0,16.0,22.0,3.0,3.0,False,3.0,2004;2006;2010,1,18.0,,18.0,2006,False,,15,2003.0
5003,50.0,3.0,1.0,1990.0,4.0,31.0,,,,,,,,0,,,,,False,,15,2005.0
5004,50.0,3.0,1.0,1990.0,3.0,31.0,,,,,,,,0,,,,,False,,15,2005.0
5005,50.0,3.0,2.0,1992.0,5.0,34.0,16.0,20.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2007.0
5701,57.0,3.0,1.0,1979.0,1.0,21.0,11.0,33.0,10.0,6.0,True,6.0,1994;1996;1998;2000;2002;2004,0,,,,,True,0.0,15,1994.0
5702,57.0,3.0,1.0,1995.0,2.0,37.0,15.0,17.0,2.0,2.0,False,2.0,2010;2012,1,15.0,,15.0,2010,False,,15,2010.0
5703,57.0,3.0,2.0,1998.0,3.0,39.0,16.0,16.0,1.0,1.0,False,1.0,2014,0,,,,,False,,15,2013.0
5801,58.0,3.0,2.0,1981.0,1.0,24.0,15.0,29.0,6.0,4.0,True,4.0,1996;2000;2004;2006,1,19.0,,19.0,2000,True,0.0,15,1996.0
5802,58.0,3.0,2.0,1984.0,2.0,27.0,16.0,28.0,6.0,4.0,True,4.0,2000;2004;2006;2008,0,,,,,True,0.0,15,1999.0
5803,58.0,3.0,1.0,1988.0,3.0,31.0,16.0,22.0,3.0,3.0,False,3.0,2004;2008;2010,0,,,,,False,,15,2003.0
6101,61.0,3.0,2.0,1993.0,1.0,30.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2008.0
6102,61.0,3.0,1.0,1994.0,2.0,31.0,16.0,18.0,2.0,2.0,False,2.0,2010;2012,1,16.0,,16.0,2010,False,,15,2009.0
6103,61.0,3.0,1.0,2003.0,3.0,40.0,13.0,17.0,3.0,2.0,False,2.0,2018;2020,0,,,,,False,,15,2018.0
