C0000100,C0000200,C0005300,C0005400,C0005700,C0005800,C0007000,first_observed_age,last_observed_age,n_observed_age_years,n_observed_age_years_15_25,any_observed_age_ge_25,observed_age_year_count_15_25,observed_survey_years_15_25,violence_positive_age_year_count_15_25,violence_first_event_age_15_25,violence_second_event_age_15_25,violence_last_event_age_15_25,violence_positive_survey_years_15_25,eligible_observed_through_age_25,persistent_violence_contact_age15_25,predictor_cutoff_age,predictor_cutoff_year
66805,668.0,3.0,1.0,2005.0,5.0,41.0,,,,,,,,0,,,,,False,,15,2020.0
67701,677.0,2.0,2.0,1985.0,1.0,23.0,15.0,27.0,7.0,6.0,True,6.0,2000;2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2000.0
67702,677.0,2.0,1.0,1989.0,2.0,27.0,15.0,23.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,2,15.0,17.0,17.0,2004;2006,False,,15,2004.0
67703,677.0,2.0,2.0,1991.0,4.0,28.0,15.0,21.0,4.0,4.0,False,4.0,2006;2008;2010;2012,1,15.0,,15.0,2006,False,,15,2006.0
67704,677.0,2.0,2.0,1991.0,3.0,28.0,15.0,21.0,4.0,4.0,False,4.0,2006;2008;2010;2012,2,15.0,17.0,17.0,2006;2008,False,,15,2006.0
68801,688.0,3.0,2.0,1986.0,1.0,23.0,18.0,26.0,4.0,3.0,True,3.0,2004;2008;2010,0,,,,,True,0.0,15,2001.0
68802,688.0,3.0,2.0,1989.0,2.0,27.0,15.0,23.0,4.0,4.0,False,4.0,2004;2008;2010;2012,0,,,,,False,,15,2004.0
68901,689.0,3.0,2.0,1986.0,1.0,22.0,20.0,26.0,4.0,3.0,True,3.0,2006;2008;2010,0,,,,,True,0.0,15,2001.0
68902,689.0,3.0,2.0,1992.0,2.0,28.0,16.0,20.0,3.0,3.0,False,3.0,2008;2010;2012,1,18.0,,18.0,2010,False,,15,2007.0
68903,689.0,3.0,1.0,2001.0,3.0,37.0,,,,,,,,0,,,,,False,,15,2016.0
69101,691.0,3.0,1.0,1984.0,1.0,23.0,,,,,,,,0,,,,,False,,15,1999.0
69102,691.0,3.0,1.0,1985.0,2.0,24.0,,,,,,,,0,,,,,False,,15,2000.0
69103,691.0,3.0,2.0,1989.0,3.0,28.0,,,,,,,,0,,,,,False,,15,2004.0
69201,692.0,3.0,2.0,1981.0,1.0,19.0,15.0,29.0,8.0,6.0,True,6.0,1996;1998;2000;2002;2004;2006,0,,,,,True,0.0,15,1996.0
69202,692.0,3.0,1.0,1985.0,2.0,22.0,15.0,27.0,7.0,6.0,True,6.0,2000;2002;2004;2006;2008;2010,1,15.0,,15.0,2000,True,0.0,15,2000.0
69401,694.0,3.0,2.0,1978.0,1.0,18.0,,,,,,,,0,,,,,False,,15,1993.0
69402,694.0,3.0,1.0,1980.0,2.0,21.0,,,,,,,,0,,,,,False,,15,1995.0
69403,694.0,3.0,1.0,1984.0,3.0,25.0,,,,,,,,0,,,,,False,,15,1999.0
69404,694.0,3.0,1.0,1986.0,4.0,26.0,,,,,,,,0,,,,,False,,15,2001.0
69601,696.0,3.0,2.0,1980.0,1.0,16.0,22.0,30.0,5.0,2.0,True,2.0,2002;2004,0,,,,,True,0.0,15,1995.0
69801,698.0,3.0,1.0,1977.0,1.0,17.0,11.0,33.0,6.0,2.0,True,2.0,1994;1996,2,17.0,19.0,19.0,1994;1996,True,1.0,15,1992.0
69802,698.0,3.0,1.0,1981.0,2.0,22.0,15.0,29.0,4.0,3.0,True,3.0,1996;2004;2006,0,,,,,True,0.0,15,1996.0
70301,703.0,3.0,1.0,1980.0,1.0,18.0,16.0,30.0,5.0,3.0,True,3.0,1996;2002;2004,1,16.0,,16.0,1996,True,0.0,15,1995.0
70302,703.0,3.0,1.0,1986.0,2.0,24.0,16.0,26.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,1,18.0,,18.0,2004,True,0.0,15,2001.0
70303,703.0,3.0,1.0,1992.0,3.0,30.0,16.0,20.0,3.0,3.0,False,3.0,2008;2010;2012,1,16.0,,16.0,2008,False,,15,2007.0
70401,704.0,3.0,1.0,1980.0,1.0,22.0,16.0,30.0,8.0,5.0,True,5.0,1996;1998;2000;2002;2004,0,,,,,True,0.0,15,1995.0
70402,704.0,3.0,2.0,1984.0,2.0,26.0,16.0,28.0,7.0,5.0,True,5.0,2000;2002;2004;2006;2008,0,,,,,True,0.0,15,1999.0
70601,706.0,3.0,2.0,1976.0,1.0,19.0,12.0,34.0,10.0,3.0,True,3.0,1994;1996;2000,0,,,,,True,0.0,15,1991.0
70602,706.0,3.0,2.0,1979.0,2.0,22.0,11.0,17.0,3.0,2.0,False,2.0,1994;1996,1,17.0,,17.0,1996,False,,15,1994.0
70603,706.0,3.0,2.0,1985.0,3.0,28.0,15.0,27.0,7.0,6.0,True,6.0,2000;2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2000.0
70604,706.0,3.0,2.0,1987.0,4.0,30.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,1,15.0,,15.0,2002,True,0.0,15,2002.0
70605,706.0,3.0,2.0,1992.0,5.0,35.0,16.0,20.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2007.0
70801,708.0,3.0,1.0,1980.0,1.0,20.0,10.0,30.0,9.0,5.0,True,5.0,1996;1998;2000;2002;2004,1,16.0,,16.0,1996,True,0.0,15,1995.0
71201,712.0,3.0,2.0,1983.0,1.0,24.0,15.0,29.0,8.0,6.0,True,6.0,1998;2000;2002;2004;2006;2008,0,,,,,True,0.0,15,1998.0
71202,712.0,3.0,1.0,1986.0,2.0,27.0,16.0,26.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,1,16.0,,16.0,2002,True,0.0,15,2001.0
71301,713.0,3.0,1.0,1987.0,1.0,24.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,5,15.0,17.0,25.0,2002;2004;2006;2010;2012,True,1.0,15,2002.0
71302,713.0,3.0,2.0,1988.0,2.0,25.0,16.0,24.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,2,16.0,18.0,18.0,2004;2006,False,,15,2003.0
72001,720.0,3.0,1.0,1980.0,1.0,19.0,16.0,30.0,8.0,5.0,True,5.0,1996;1998;2000;2002;2004,0,,,,,True,0.0,15,1995.0
72002,720.0,3.0,2.0,1982.0,2.0,21.0,16.0,30.0,8.0,5.0,True,5.0,1998;2000;2002;2004;2006,0,,,,,True,0.0,15,1997.0
72101,721.0,3.0,2.0,1986.0,1.0,23.0,16.0,26.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2001.0
72102,721.0,3.0,1.0,1989.0,2.0,26.0,15.0,23.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2004.0
72401,724.0,3.0,1.0,1985.0,1.0,24.0,15.0,27.0,7.0,6.0,True,6.0,2000;2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2000.0
72402,724.0,3.0,1.0,1988.0,2.0,26.0,16.0,24.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2003.0
72601,726.0,3.0,1.0,1982.0,1.0,20.0,20.0,20.0,1.0,1.0,False,1.0,2002,0,,,,,False,,15,1997.0
72602,726.0,3.0,1.0,1989.0,2.0,27.0,15.0,15.0,1.0,1.0,False,1.0,2004,1,15.0,,15.0,2004,False,,15,2004.0
72603,726.0,3.0,2.0,1994.0,3.0,32.0,,,,,,,,0,,,,,False,,15,2009.0
73301,733.0,3.0,2.0,1985.0,2.0,21.0,15.0,27.0,7.0,6.0,True,6.0,2000;2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2000.0
73302,733.0,3.0,2.0,1985.0,1.0,21.0,15.0,27.0,7.0,6.0,True,6.0,2000;2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2000.0
73303,733.0,3.0,2.0,1989.0,3.0,26.0,15.0,23.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2004.0
73304,733.0,3.0,1.0,1991.0,4.0,27.0,15.0,21.0,4.0,4.0,False,4.0,2006;2008;2010;2012,1,15.0,,15.0,2006,False,,15,2006.0
73601,736.0,3.0,1.0,1984.0,1.0,20.0,16.0,28.0,7.0,5.0,True,5.0,2000;2002;2004;2006;2008,1,16.0,,16.0,2000,True,0.0,15,1999.0
73602,736.0,3.0,1.0,1987.0,2.0,24.0,15.0,21.0,4.0,4.0,False,4.0,2002;2004;2006;2008,0,,,,,False,,15,2002.0
73901,739.0,3.0,1.0,1978.0,1.0,19.0,10.0,34.0,9.0,3.0,True,3.0,1994;2000;2002,1,22.0,,22.0,2000,True,0.0,15,1993.0
73902,739.0,3.0,1.0,1980.0,2.0,22.0,28.0,30.0,2.0,0.0,True,,,0,,,,,True,0.0,15,1995.0
73903,739.0,3.0,2.0,1987.0,3.0,29.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,1,17.0,,17.0,2004,True,0.0,15,2002.0
74001,740.0,3.0,1.0,1983.0,1.0,20.0,15.0,27.0,7.0,6.0,True,6.0,1998;2000;2002;2004;2006;2008,0,,,,,True,0.0,15,1998.0
74301,743.0,3.0,1.0,1992.0,2.0,32.0,16.0,20.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2007.0
74302,743.0,3.0,2.0,1992.0,1.0,32.0,16.0,20.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2007.0
74401,744.0,2.0,1.0,1980.0,1.0,20.0,10.0,30.0,7.0,4.0,True,4.0,1998;2000;2002;2004,1,18.0,,18.0,1998,True,0.0,15,1995.0
74402,744.0,2.0,1.0,2001.0,2.0,41.0,15.0,17.0,2.0,2.0,False,2.0,2016;2018,0,,,,,False,,15,2016.0
74601,746.0,3.0,1.0,1987.0,1.0,26.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,0,,,,,True,0.0,15,2002.0
74602,746.0,3.0,1.0,1990.0,2.0,29.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2005.0
75201,752.0,3.0,1.0,1989.0,1.0,32.0,15.0,23.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2004.0
75202,752.0,3.0,2.0,1994.0,2.0,37.0,16.0,18.0,2.0,2.0,False,2.0,2010;2012,0,,,,,False,,15,2009.0
75501,755.0,1.0,2.0,1978.0,1.0,17.0,10.0,34.0,10.0,5.0,True,5.0,1994;1996;1998;2000;2002,0,,,,,True,0.0,15,1993.0
75502,755.0,1.0,2.0,1981.0,2.0,19.0,15.0,29.0,8.0,6.0,True,6.0,1996;1998;2000;2002;2004;2006,1,17.0,,17.0,1998,True,0.0,15,1996.0
75503,755.0,1.0,2.0,1990.0,3.0,29.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2005.0
75601,756.0,1.0,2.0,1983.0,1.0,19.0,15.0,29.0,8.0,6.0,True,6.0,1998;2000;2002;2004;2006;2008,1,17.0,,17.0,2000,True,0.0,15,1998.0
75602,756.0,1.0,1.0,1984.0,2.0,20.0,16.0,28.0,7.0,5.0,True,5.0,2000;2002;2004;2006;2008,0,,,,,True,0.0,15,1999.0
75603,756.0,1.0,2.0,1990.0,3.0,26.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2005.0
75604,756.0,1.0,2.0,1992.0,4.0,28.0,16.0,20.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2007.0
75605,756.0,1.0,1.0,2001.0,5.0,37.0,15.0,17.0,2.0,2.0,False,2.0,2016;2018,0,,,,,False,,15,2016.0
75701,757.0,2.0,1.0,1980.0,1.0,18.0,10.0,30.0,7.0,3.0,True,3.0,1996;1998;2004,2,16.0,18.0,18.0,1996;1998,True,1.0,15,1995.0
75702,757.0,2.0,1.0,1994.0,2.0,32.0,16.0,18.0,2.0,2.0,False,2.0,2010;2012,0,,,,,False,,15,2009.0
75801,758.0,2.0,2.0,1983.0,1.0,23.0,15.0,29.0,8.0,6.0,True,6.0,1998;2000;2002;2004;2006;2008,0,,,,,True,0.0,15,1998.0
75901,759.0,2.0,1.0,1977.0,1.0,17.0,11.0,31.0,8.0,4.0,True,4.0,1994;1996;1998;2002,2,17.0,19.0,19.0,1994;1996,True,1.0,15,1992.0
75902,759.0,2.0,2.0,1982.0,2.0,22.0,16.0,30.0,7.0,4.0,True,4.0,1998;2000;2002;2006,1,16.0,,16.0,1998,True,0.0,15,1997.0
75903,759.0,2.0,2.0,1993.0,3.0,32.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2008.0
75904,759.0,2.0,1.0,1996.0,4.0,35.0,16.0,16.0,1.0,1.0,False,1.0,2012,0,,,,,False,,15,2011.0
76101,761.0,3.0,1.0,1979.0,1.0,20.0,11.0,33.0,9.0,6.0,True,6.0,1994;1996;1998;2000;2002;2004,2,15.0,17.0,17.0,1994;1996,True,1.0,15,1994.0
76102,761.0,3.0,1.0,1983.0,2.0,24.0,15.0,29.0,8.0,6.0,True,6.0,1998;2000;2002;2004;2006;2008,2,17.0,19.0,19.0,2000;2002,True,1.0,15,1998.0
76103,761.0,3.0,1.0,1993.0,3.0,34.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2008.0
76401,764.0,1.0,1.0,1982.0,1.0,18.0,16.0,30.0,6.0,3.0,True,3.0,1998;2000;2002,1,16.0,,16.0,1998,True,0.0,15,1997.0
76402,764.0,1.0,1.0,1986.0,2.0,22.0,16.0,26.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2001.0
76403,764.0,1.0,1.0,1987.0,3.0,23.0,15.0,23.0,3.0,3.0,False,3.0,2002;2004;2010,1,15.0,,15.0,2002,False,,15,2002.0
76404,764.0,1.0,1.0,1988.0,4.0,25.0,16.0,24.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2003.0
76405,764.0,1.0,1.0,1991.0,5.0,27.0,15.0,21.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2006.0
76801,768.0,3.0,2.0,1979.0,1.0,17.0,11.0,33.0,10.0,6.0,True,6.0,1994;1996;1998;2000;2002;2004,3,15.0,19.0,21.0,1994;1998;2000,True,1.0,15,1994.0
76802,768.0,3.0,1.0,1987.0,2.0,25.0,15.0,23.0,5.0,5.0,False,5.0,2002;2004;2006;2008;2010,0,,,,,False,,15,2002.0
76803,768.0,3.0,2.0,1989.0,3.0,27.0,15.0,23.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2004.0
76804,768.0,3.0,1.0,1993.0,4.0,31.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2008.0
77001,770.0,3.0,1.0,1980.0,1.0,19.0,16.0,30.0,6.0,3.0,True,3.0,1996;1998;2000,2,16.0,18.0,18.0,1996;1998,True,1.0,15,1995.0
77002,770.0,3.0,2.0,1983.0,2.0,21.0,15.0,29.0,7.0,5.0,True,5.0,1998;2000;2002;2006;2008,2,15.0,23.0,23.0,1998;2006,True,1.0,15,1998.0
77501,775.0,3.0,2.0,1985.0,1.0,26.0,15.0,23.0,5.0,5.0,False,5.0,2000;2002;2004;2006;2008,0,,,,,False,,15,2000.0
77502,775.0,3.0,1.0,1986.0,3.0,28.0,16.0,26.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,2,16.0,18.0,18.0,2002;2004,True,1.0,15,2001.0
77503,775.0,3.0,1.0,1986.0,2.0,28.0,16.0,24.0,5.0,5.0,False,5.0,2002;2004;2006;2008;2010,2,16.0,18.0,18.0,2002;2004,False,,15,2001.0
77901,779.0,3.0,2.0,1988.0,1.0,24.0,18.0,24.0,4.0,4.0,False,4.0,2006;2008;2010;2012,1,18.0,,18.0,2006,False,,15,2003.0
78301,783.0,1.0,1.0,1981.0,1.0,17.0,15.0,29.0,7.0,5.0,True,5.0,1996;2000;2002;2004;2006,1,15.0,,15.0,1996,True,0.0,15,1996.0
78501,785.0,3.0,2.0,1987.0,1.0,30.0,,,,,,,,0,,,,,False,,15,2002.0
78701,787.0,3.0,2.0,1986.0,1.0,25.0,,,,,,,,0,,,,,False,,15,2001.0
78801,788.0,3.0,1.0,1998.0,1.0,39.0,,,,,,,,0,,,,,False,,15,2013.0
78901,789.0,3.0,2.0,1981.0,1.0,22.0,17.0,29.0,6.0,4.0,True,4.0,1998;2002;2004;2006,0,,,,,True,0.0,15,1996.0
79001,790.0,3.0,1.0,1991.0,1.0,27.0,17.0,21.0,3.0,3.0,False,3.0,2008;2010;2012,1,17.0,,17.0,2008,False,,15,2006.0
79201,792.0,3.0,2.0,1982.0,1.0,22.0,18.0,30.0,7.0,4.0,True,4.0,2000;2002;2004;2006,0,,,,,True,0.0,15,1997.0
79202,792.0,3.0,1.0,1985.0,2.0,24.0,15.0,25.0,6.0,6.0,True,6.0,2000;2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2000.0
79203,792.0,3.0,1.0,1989.0,3.0,28.0,15.0,23.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,1,17.0,,17.0,2006,False,,15,2004.0
79204,792.0,3.0,2.0,1997.0,4.0,37.0,15.0,17.0,2.0,2.0,False,2.0,2012;2014,0,,,,,False,,15,2012.0
80101,801.0,3.0,2.0,1981.0,1.0,21.0,17.0,29.0,7.0,5.0,True,5.0,1998;2000;2002;2004;2006,0,,,,,True,0.0,15,1996.0
80102,801.0,3.0,2.0,1984.0,2.0,24.0,16.0,28.0,7.0,5.0,True,5.0,2000;2002;2004;2006;2008,3,18.0,20.0,22.0,2002;2004;2006,True,1.0,15,1999.0
80103,801.0,3.0,1.0,1987.0,3.0,28.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,0,,,,,True,0.0,15,2002.0
80301,803.0,3.0,2.0,1981.0,1.0,18.0,15.0,29.0,8.0,6.0,True,6.0,1996;1998;2000;2002;2004;2006,2,15.0,17.0,17.0,1996;1998,True,1.0,15,1996.0
80302,803.0,3.0,1.0,1987.0,2.0,24.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,2,17.0,19.0,19.0,2004;2006,True,1.0,15,2002.0
80303,803.0,3.0,2.0,1989.0,3.0,27.0,15.0,23.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2004.0
80304,803.0,3.0,2.0,1996.0,4.0,33.0,16.0,16.0,1.0,1.0,False,1.0,2012,0,,,,,False,,15,2011.0
80305,803.0,3.0,2.0,1998.0,5.0,36.0,16.0,16.0,1.0,1.0,False,1.0,2014,0,,,,,False,,15,2013.0
80306,803.0,3.0,2.0,2001.0,6.0,38.0,15.0,17.0,2.0,2.0,False,2.0,2016;2018,0,,,,,False,,15,2016.0
80401,804.0,3.0,1.0,1986.0,1.0,21.0,16.0,26.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2001.0
80402,804.0,3.0,2.0,1987.0,2.0,23.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,0,,,,,True,0.0,15,2002.0
80501,805.0,3.0,1.0,1994.0,1.0,36.0,,,,,,,,0,,,,,False,,15,2009.0
81001,810.0,3.0,2.0,1989.0,1.0,28.0,15.0,21.0,4.0,4.0,False,4.0,2004;2006;2008;2010,0,,,,,False,,15,2004.0
81101,811.0,3.0,2.0,1993.0,1.0,34.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2008.0
81201,812.0,3.0,2.0,1985.0,1.0,25.0,17.0,27.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2000.0
81202,812.0,3.0,1.0,1987.0,2.0,27.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,1,17.0,,17.0,2004,True,0.0,15,2002.0
81203,812.0,3.0,2.0,1990.0,3.0,29.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,1,18.0,,18.0,2008,False,,15,2005.0
81204,812.0,3.0,1.0,1993.0,4.0,32.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2008.0
81401,814.0,3.0,1.0,1982.0,1.0,24.0,16.0,26.0,4.0,3.0,True,3.0,1998;2000;2002,0,,,,,True,0.0,15,1997.0
81402,814.0,3.0,1.0,1985.0,2.0,27.0,15.0,27.0,4.0,3.0,True,3.0,2000;2002;2006,0,,,,,True,0.0,15,2000.0
81601,816.0,3.0,1.0,1990.0,1.0,32.0,,,,,,,,0,,,,,False,,15,2005.0
81602,816.0,3.0,1.0,1994.0,2.0,36.0,,,,,,,,0,,,,,False,,15,2009.0
82001,820.0,3.0,1.0,1996.0,1.0,36.0,16.0,16.0,1.0,1.0,False,1.0,2012,0,,,,,False,,15,2011.0
82401,824.0,3.0,2.0,1993.0,1.0,34.0,,,,,,,,0,,,,,False,,15,2008.0
82801,828.0,3.0,2.0,1990.0,1.0,28.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2005.0
82802,828.0,3.0,1.0,1991.0,2.0,30.0,15.0,21.0,4.0,4.0,False,4.0,2006;2008;2010;2012,1,17.0,,17.0,2008,False,,15,2006.0
82901,829.0,3.0,2.0,1988.0,1.0,31.0,16.0,24.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2003.0
82902,829.0,3.0,1.0,1993.0,2.0,35.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2008.0
83001,830.0,2.0,2.0,1979.0,1.0,19.0,19.0,33.0,7.0,4.0,True,4.0,1998;2000;2002;2004,0,,,,,True,0.0,15,1994.0
83101,831.0,2.0,2.0,1984.0,1.0,21.0,16.0,28.0,6.0,4.0,True,4.0,2000;2002;2006;2008,1,16.0,,16.0,2000,True,0.0,15,1999.0
83102,831.0,2.0,2.0,1987.0,2.0,24.0,15.0,25.0,6.0,6.0,True,6.0,2002;2004;2006;2008;2010;2012,0,,,,,True,0.0,15,2002.0
83103,831.0,2.0,2.0,1992.0,3.0,29.0,16.0,20.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2007.0
83104,831.0,2.0,2.0,1998.0,4.0,35.0,,,,,,,,0,,,,,False,,15,2013.0
83401,834.0,2.0,2.0,1983.0,1.0,24.0,15.0,29.0,8.0,6.0,True,6.0,1998;2000;2002;2004;2006;2008,0,,,,,True,0.0,15,1998.0
83402,834.0,2.0,2.0,1988.0,2.0,28.0,16.0,24.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,0,,,,,False,,15,2003.0
83403,834.0,2.0,2.0,1992.0,3.0,32.0,16.0,20.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2007.0
83501,835.0,2.0,1.0,1985.0,1.0,21.0,,,,,,,,0,,,,,False,,15,2000.0
83502,835.0,2.0,2.0,1986.0,2.0,22.0,16.0,26.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2001.0
83601,836.0,1.0,1.0,1979.0,1.0,18.0,15.0,33.0,8.0,5.0,True,5.0,1994;1996;1998;2000;2004,3,15.0,17.0,19.0,1994;1996;1998,True,1.0,15,1994.0
83602,836.0,1.0,1.0,1988.0,2.0,27.0,16.0,24.0,5.0,5.0,False,5.0,2004;2006;2008;2010;2012,1,16.0,,16.0,2004,False,,15,2003.0
83603,836.0,1.0,1.0,1991.0,3.0,30.0,15.0,21.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2006.0
83901,839.0,2.0,2.0,1993.0,1.0,33.0,15.0,19.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2008.0
84001,840.0,2.0,2.0,1977.0,1.0,18.0,11.0,11.0,1.0,0.0,False,,,0,,,,,False,,15,1992.0
84002,840.0,2.0,2.0,1982.0,2.0,23.0,,,,,,,,0,,,,,False,,15,1997.0
84101,841.0,3.0,1.0,1981.0,1.0,22.0,15.0,29.0,8.0,6.0,True,6.0,1996;1998;2000;2002;2004;2006,2,15.0,17.0,17.0,1996;1998,True,1.0,15,1996.0
84102,841.0,3.0,2.0,1986.0,2.0,27.0,16.0,26.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,0,,,,,True,0.0,15,2001.0
84201,842.0,3.0,2.0,1978.0,1.0,18.0,12.0,34.0,10.0,5.0,True,5.0,1994;1996;1998;2000;2002,1,16.0,,16.0,1994,True,0.0,15,1993.0
84301,843.0,3.0,2.0,1982.0,1.0,19.0,18.0,30.0,7.0,4.0,True,4.0,2000;2002;2004;2006,0,,,,,True,0.0,15,1997.0
84501,845.0,3.0,2.0,1976.0,1.0,15.0,26.0,32.0,4.0,0.0,True,,,0,,,,,True,0.0,15,1991.0
84502,845.0,3.0,1.0,1979.0,2.0,18.0,,,,,,,,0,,,,,False,,15,1994.0
84503,845.0,3.0,2.0,1986.0,3.0,25.0,16.0,26.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,1,16.0,,16.0,2002,True,0.0,15,2001.0
84801,848.0,3.0,2.0,1979.0,1.0,20.0,11.0,33.0,10.0,6.0,True,6.0,1994;1996;1998;2000;2002;2004,0,,,,,True,0.0,15,1994.0
85201,852.0,3.0,1.0,1981.0,1.0,21.0,21.0,29.0,5.0,3.0,True,3.0,2002;2004;2006,0,,,,,True,0.0,15,1996.0
85401,854.0,3.0,1.0,1985.0,1.0,23.0,15.0,27.0,7.0,6.0,True,6.0,2000;2002;2004;2006;2008;2010,1,15.0,,15.0,2000,True,0.0,15,2000.0
85402,854.0,3.0,1.0,1990.0,2.0,27.0,16.0,22.0,4.0,4.0,False,4.0,2006;2008;2010;2012,0,,,,,False,,15,2005.0
85403,854.0,3.0,1.0,1992.0,3.0,29.0,16.0,20.0,3.0,3.0,False,3.0,2008;2010;2012,0,,,,,False,,15,2007.0
85404,854.0,3.0,2.0,1999.0,4.0,36.0,15.0,17.0,2.0,2.0,False,2.0,2014;2016,0,,,,,False,,15,2014.0
85501,855.0,3.0,1.0,1983.0,1.0,24.0,15.0,29.0,8.0,6.0,True,6.0,1998;2000;2002;2004;2006;2008,0,,,,,True,0.0,15,1998.0
85502,855.0,3.0,1.0,1986.0,2.0,27.0,16.0,26.0,6.0,5.0,True,5.0,2002;2004;2006;2008;2010,1,16.0,,16.0,2002,True,0.0,15,2001.0
85601,856.0,3.0,2.0,1983.0,1.0,22.0,15.0,29.0,7.0,5.0,True,5.0,1998;2000;2002;2004;2006,0,,,,,True,0.0,15,1998.0
85602,856.0,3.0,1.0,1985.0,2.0,24.0,15.0,27.0,7.0,6.0,True,6.0,2000;2002;2004;2006;2008;2010,1,15.0,,15.0,2000,True,0.0,15,2000.0
85603,856.0,3.0,1.0,1986.0,3.0,25.0,16.0,24.0,4.0,4.0,False,4.0,2002;2006;2008;2010,1,16.0,,16.0,2002,False,,15,2001.0
86201,862.0,3.0,2.0,1978.0,1.0,19.0,12.0,34.0,9.0,4.0,True,4.0,1994;1998;2000;2002,0,,,,,True,0.0,15,1993.0
86202,862.0,3.0,1.0,1981.0,2.0,22.0,17.0,29.0,6.0,4.0,True,4.0,1998;2000;2002;2006,0,,,,,True,0.0,15,1996.0
86601,866.0,3.0,2.0,1985.0,1.0,20.0,15.0,27.0,6.0,5.0,True,5.0,2000;2002;2004;2006;2010,0,,,,,True,0.0,15,2000.0
