sex_label,n,positive_n,negative_n,base_rate,mean_positive_age_years,mean_observed_age_years_15_25
Female,2284,175.0,2109.0,0.0766199649737303,0.37040280210157617,4.673749446657813
Male,2198,357.0,1841.0,0.1624203821656051,0.6419472247497725,4.49721706864564
